city,state,year_created,creation_mechanism,lawsuits,court_ruling,state_preemption,preemption_details
Akron city,OH,2023,ballot_measure,FOP challenged investigative rules,for_police,no,
Albuquerque city,NM,2014,ordinance,None found,none,no,
Alexandria city,VA,2021,ordinance,None found,none,no,
Anaheim city,CA,2018,ordinance,None found,none,no,
Ann Arbor city,MI,2018,ordinance,None found,none,no,
Arlington,VA,2021,ordinance,None found,none,no,
Athens-Clarke County unified government (balance),GA,2021,ordinance,None found,none,no,
Atlanta city,GA,2007,ordinance,None found,none,no,
Aurora city,CO,2015,ordinance,None found,none,no,
Aurora city,IL,2020,ordinance,None found,none,no,
Austin city,TX,2002,ballot_measure,None found,none,no,
Baltimore city,MD,1999,state_law,FOP lawsuit dismissed,for_COA,no,
Berkeley city,CA,2020,ballot_measure,None found,none,no,
Billings city,MT,2021,ordinance,None found,none,no,
Birmingham city,AL,2021,ordinance,None found,none,no,
Boisecity,ID,2021,ordinance,None found,none,no,
Boston city,MA,2007,ordinance,None found,none,no,
Boulder city,CO,2023,ordinance,None found,none,no,
Burbank city,CA,2007,ordinance,None found,none,no,
Cambridge city,MA,1984,ordinance,None found,none,no,
Carlsbad city,CA,2022,ordinance,None found,none,no,
Cedar Rapids city,IA,2021,ordinance,None found,none,yes,IA SF 311 (2025) - state banned citizen police review boards in cities with civil service commissions; dissolved Aug 2025
Chandler city,AZ,2000,ordinance,None found,none,partial,AZ HB 2462/2721 (2021) - requires 80hrs police training for board members; 2/3 of investigators must be certified law enforcement
Charlotte city,NC,1997,ordinance,None found,none,no,
Chattanooga city,TN,2020,ordinance,None found,none,yes,TN SB 591 (2023) - state abolished/restricted existing oversight boards; replaced with weaker advisory committees
Chesapeake city,VA,2010,ordinance,None found,none,no,
Chicago city,IL,2017,ordinance,FOP federal lawsuit dismissed 2025; FOP v. COPA 2026,for_COA,no,
Cleveland city,OH,1984,ballot_measure,None found,none,no,
Colorado Springs city,CO,2020,ordinance,None found,none,no,
Columbia,MD,2022,state_law,None found,none,no,
Columbia city,MO,2009,ordinance,None found,none,no,
Dallas city,TX,1987,ordinance,None found,none,no,
Denver city,CO,2004,ordinance,None found,none,no,
Detroit city,MI,1974,ballot_measure,DOJ consent decree 2003-2016,none,no,
Durham city,NC,2003,ordinance,None found,none,no,
Elgin city,IL,2024,ordinance,None found,none,no,
Eugene city,OR,2006,ballot_measure,ACLU v. City 2016 public records,for_COA,partial,OR collective bargaining law constrains; SB 621 (2021) carve-out only for post-2020 boards
