city,state,year_created,creation_mechanism,lawsuits,court_rulings_summary,courts_sided_with,state_preemption,preemption_details
New York city,NY,1993,City Council ordinance (1993); ballot measure expanded powers (2019),"PBA v. CCRB (rules challenge, 2019-2021); PBA v. CCRB body-cam case (2024); PBA v. CCRB sexual misconduct case (2021)","Some CCRB rules struck down; body-cam and sexual misconduct jurisdiction upheld",Mostly COA,Partial,"State law preserves Police Commissioner's final authority over discipline; Commissioner disagreed with CCRB in ~260 of 600 serious cases"
Chicago city,IL,2017,City Council ordinance (2016),"FOP federal lawsuit (2024, dismissed 2025); FOP v. COPA fatal shootings authority (2026)","FOP federal suit dismissed (no constitutional right to fair investigation by civilian agency); COPA authority to investigate fatal shootings upheld",COA,No,"Illinois home rule; state law explicitly acknowledges external civilian oversight; consent decree reinforces oversight"
Detroit city,MI,1974,City charter / ballot measure (1974; revised 2012),"DOJ consent decree (2003-2016); wrongful termination suit by former staff (2024)","No court has ruled against BOPC's authority or existence",N/A - no challenge to authority,No,"Lost power temporarily during 2013 bankruptcy under Emergency Manager; restored 2015"
Rochester city,NY,2019,Ballot measure (2019; approved 3-to-1),"Locust Club v. City of Rochester (2019-2023, discipline powers); Locust Club v. PAB (2025, investigative powers)","Trial court, appellate division, and NY Court of Appeals all struck down disciplinary powers; investigative powers also blocked (2025)",Police (all rulings),Yes,"NY state civil service law preempts PAB disciplinary authority; most thorough judicial gutting of a COA"
Hartford city,CT,2020,City Council ordinance (1992; strengthened 2020),"No major lawsuits found; police union disputes over disciplinary arbitration and records access","No significant court rulings challenging CPRB authority",N/A,No - state ENABLED powers,"CT Police Accountability Act of 2020 granted municipalities authority to give CRBs subpoena power"
Providence city,RI,2002,City Council ordinance,"FOP/officers v. PERA (LEOBOR challenge, early 2000s); Mayor's City Solicitor lawsuit challenging structure","PERA effectively collapsed in 2008 due to legal/political challenges; defunded",Police/Mayor,Yes,"RI Law Enforcement Officer's Bill of Rights (LEOBOR) used to challenge PERA authority; combined with political opposition led to defunding"
Eugene city,OR,2006,Ballot measure (2005) + City Council ordinance (2006),"ACLU v. City of Eugene (2016, public records)","OR Supreme Court unanimously ruled for transparency/disclosure of CRB records",COA/Transparency,Partial,"OR collective bargaining law constrains discipline authority; SB 621 (2021) created carve-out for boards approved by voters after July 2020 (Eugene predates cutoff)"
Milwaukee city,WI,1911,State law (WI Statute 62.50; 1885/1911),"Castaneda v. Welch (2007, complaint investigation barriers); MPA v. City body-cam policy (2023)","WI Supreme Court unanimously invalidated FPC's restrictive complaint rules (Castaneda)",Complainants/COA (Castaneda),Yes - dramatically,"WI Act 12 (2023) gutted FPC policymaking authority; transferred policy to Chiefs; required union-selected members; 2 commissioners resigned in protest"
Green Bay city,WI,1895,State law (WI Statute 62.13),"Green Bay PPA v. City (2023, discipline case); Heil v. PFC (2002, tainted process); Wilson v. Schocker (1987, promotion powers)","2023: WI Supreme Court upheld discipline (for city); 2002: PFC decision voided for procedural issue; 1987: limited PFC promotion power",Mixed,N/A - created by state law,"Board IS state law; state mandates PFC for cities >4000; state preempted local residency requirements (2013)"
Urban Honolulu,HI,1932,State (territorial) legislation (Act 1 of 1932); now governed by county charter,"City v. Police Commission (2023, Kealoha defense); SHOPO v. City (2021, misconduct records); SHOPO v. Act 47 (2020, disclosure)","Court reversed Commission on Kealoha defense (narrow grounds); courts sided with transparency against police union (SHOPO lost on records disclosure)",Mostly COA/Transparency,No,"State authorized structure; county charters now define details per HRS Section 52; no preemption"
Columbia,MD,2022,State law (Maryland Police Accountability Act of 2021; HB 670),"FOP Lodge 35 v. Montgomery County (2022, records disclosure - related MD case); Baltimore FOP lawsuit dismissed","Courts ruled against FOP in related MD cases; no direct challenge to Howard County PAB",COA (in related cases),No - state MANDATED board,"State required every county to create PAB by July 2022; legal gray areas about whether counties can expand beyond state-defined powers"
Omaha city,NB,2014,Mayoral executive order,"No lawsuits found; board faced internal dysfunction (mass resignation 2016)","No court rulings",N/A,No direct preemption,"Mayor indicated expansion would conflict with police union contract; NE bill LB276 (2025) would mandate stronger oversight statewide"
Springfield city,MS,2022,City Council ordinance (2016/2018; mayor veto overridden),"City Council v. Mayor Sarno (2022, MA SJC); DOJ v. Springfield PD (2023, pattern of force)","MA Supreme Judicial Court unanimously ruled for City Council/against Mayor who refused to implement board",COA (Council won),No,"Board created under MA G.L. c. 43 Section 5; no state preemption; Mayor limited board through MOU restricting role"
Stamford city,CT,1969,City Charter (enabled by CT General Statutes 7-274),"No lawsuits challenging the Board found; cases involved individual officers","No rulings on Board's authority",N/A,No,"Board operates under both city charter and CT enabling statute"
Waterbury city,CT,2004,City Charter (Section 6C-5; enabled by CT General Statutes 7-274),"Brass City Local v. City (2021, arbitration); Waterbury v. Commission on Human Rights (1971)","2021: Court favored city in arbitration case; 1971: City blocked state Human Rights Commission oversight of police",Mixed,No,"Board operates under charter and state enabling law"
